eval_index,frame_original_index,mask_original_index,pred_path,gt_path,mask_path,pred_name,gt_name,mask_name,pred_stem,gt_stem,mask_stem,pred_orig_size,gt_orig_size,mask_orig_size,pred_gt_same_name,gt_mask_same_name,mask_ratio,hole_pixels,PSNR_all,PSNR_hole,SSIM_all,SSIM_hole,PSNR_nomask,SSIM_nomask,LPIPS,nonmask_dil30_ratio,PSNR_nonmask_dil30,SSIM_nonmask_dil30,hole_psnr_gt_all,jump_image,jump_mask,gt_original_index,aligned_pair
0,0,0,results/B_mask_20_30_reliability_inference/frames/0000.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00000.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000000.png,0000.png,00000.jpg,0000000.png,0000,00000,0000000,"[256, 256]","[256, 256]","[256, 256]",False,False,0.22747802734375,14908,35.19349256796895,28.762886914123087,0.9846180081367493,0.9797332882881165,99.0,0.9987604022026062,0.016246678307652473,0.3898162841796875,99.0,0.9833528399467468,False,0,0,0,pred[0] <-> gt[0] <-> mask[0]
1,1,1,results/B_mask_20_30_reliability_inference/line_debug/0000_center.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00002.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000009.png,0000_center.png,00002.jpg,0000009.png,0000_center,00002,0000009,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2275238037109375,14911,4.1870025963176465,3.5395740680873153,0.008135094307363033,0.009417722932994366,4.397669927123248,0.009923660196363926,0.7365701198577881,0.263824462890625,3.769868427223235,0.009343399666249752,False,0,0,1,pred[1] <-> gt[1] <-> mask[1]
2,2,2,results/B_mask_20_30_reliability_inference/line_debug/0000_reliability.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00004.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000015.png,0000_reliability.png,00004.jpg,0000015.png,0000_reliability,00004,0000015,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2032470703125,13320,4.334124489120838,3.2814476795753302,0.013619296252727509,-0.006697962526232004,4.649152133967656,0.0177981685847044,0.7052170038223267,0.2203216552734375,3.3277843688739113,-0.0012302601244300604,False,0,0,2,pred[2] <-> gt[2] <-> mask[2]
3,3,3,results/B_mask_20_30_reliability_inference/line_debug/0000_soft.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00006.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000021.png,0000_soft.png,00006.jpg,0000021.png,0000_soft,00006,0000021,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2685089111328125,17597,4.352685213053565,3.1149008550097763,0.017828604206442833,0.017875351011753082,4.913049360862188,0.019947437569499016,0.7046157717704773,0.329925537109375,3.881462275762886,0.017828604206442833,False,0,0,3,pred[3] <-> gt[3] <-> mask[3]
4,4,4,results/B_mask_20_30_reliability_inference/frames/0001.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00008.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000025.png,0001.png,00008.jpg,0000025.png,0001,00008,0000025,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2770538330078125,18157,12.750167409578395,12.877563525805984,0.4743851125240326,0.39255282282829285,12.702319286951605,0.5352284908294678,0.34929782152175903,0.3156280517578125,13.647515338914143,0.3743385970592499,True,0,0,4,pred[4] <-> gt[4] <-> mask[4]
5,5,5,results/B_mask_20_30_reliability_inference/line_debug/0001_center.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00010.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000028.png,0001_center.png,00010.jpg,0000028.png,0001_center,00010,0000028,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2640380859375,17304,4.242673115070924,3.5549612856147412,0.009675207547843456,0.009892585687339306,4.518590671407185,0.012339809909462929,0.7140415906906128,0.3632049560546875,3.6897184200249393,0.00947173684835434,False,0,0,5,pred[5] <-> gt[5] <-> mask[5]
6,6,6,results/B_mask_20_30_reliability_inference/line_debug/0001_reliability.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00012.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000030.png,0001_reliability.png,00012.jpg,0000030.png,0001_reliability,00012,0000030,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2465057373046875,16155,4.380626513986588,4.445327475993228,0.01770426705479622,0.011317471973598003,4.35966717508156,0.018835848197340965,0.7190069556236267,0.291534423828125,4.5680834714392144,0.01670333929359913,True,0,0,6,pred[6] <-> gt[6] <-> mask[6]
7,7,7,results/B_mask_20_30_reliability_inference/line_debug/0001_soft.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00014.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000032.png,0001_soft.png,00014.jpg,0000032.png,0001_soft,00014,0000032,"[256, 256]","[256, 256]","[256, 256]",False,False,0.28680419921875,18796,4.379082285627395,3.095026558175852,0.01820201613008976,0.010016744025051594,5.025742121372279,0.025833582505583763,0.717044472694397,0.393798828125,3.304078493857433,0.01663210056722164,False,0,0,7,pred[7] <-> gt[7] <-> mask[7]
8,8,8,results/B_mask_20_30_reliability_inference/frames/0002.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00016.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000036.png,0002.png,00016.jpg,0000036.png,0002,00016,0000036,"[256, 256]","[256, 256]","[256, 256]",False,False,0.203155517578125,13314,16.4239953867208,15.824571741208306,0.515454888343811,0.4050212800502777,16.591039275909413,0.5588362216949463,0.13134807348251343,0.20355224609375,16.103079746048202,0.3819465935230255,False,0,0,8,pred[8] <-> gt[8] <-> mask[8]
9,9,9,results/B_mask_20_30_reliability_inference/line_debug/0002_center.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00018.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000037.png,0002_center.png,00018.jpg,0000037.png,0002_center,00018,0000037,"[256, 256]","[256, 256]","[256, 256]",False,False,0.23388671875,15328,4.2276072501977096,2.7853801917526972,0.010703367181122303,-9.99565891106613e-05,4.783989222361417,0.014321521855890751,0.7056757211685181,0.252655029296875,3.051013387149197,0.004275216255337,False,0,0,9,pred[9] <-> gt[9] <-> mask[9]
